link,text
http://www.thehindu.com/todays-paper/tp-national/tp-otherstates/Legislators-forum-on-HIVAIDS-launched/article16033772.ece,Legislators' forum on HIV/AIDS launched
http://www.thehindu.com/todays-paper/tp-national/tp-otherstates/Legislators-forum-on-HIVAIDS-launched/article16034201.ece,Legislators' forum on HIV/AIDS launched
http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/lsquoAction-plan-will-give-thrust-to-national-policy-on-HIVAIDS/article16031243.ece,‘Action plan will give thrust to national policy on HIV/AIDS'
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Youth-festival-to-create-awareness-of-HIVAIDS/article16214820.ece,Youth festival to create awareness of HIV/AIDS
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Pension-ration-for-HIV-patients-mooted/article16215313.ece,"Pension, ration for HIV patients mooted"
http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/Seminar-on-HIVAIDS/article16216422.ece,Seminar on HIV/AIDS
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Students-asked-to-create-awareness-on-HIV-among-rural-people/article16212465.ece,Students asked to create awareness on HIV among rural people
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/ldquoAwareness-of-HIVAIDS-is-vitalrdquo/article16212441.ece,“Awareness of HIV/AIDS is vital”
http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/lsquoTake-HIVAIDS-awareness-programmes-to-rural-areas/article16211593.ece,‘Take HIV/AIDS awareness programmes to rural areas'
http://www.thehindu.com/todays-paper/Lack-of-kits-halts-HIV-tests-in-State/article16207943.ece,Lack of kits halts HIV tests in State
http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/Seminar-on-HIVAIDS/article16216422.ece,Seminar on HIV/AIDS
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Information-on-HIVAIDS-in-vernacular-languages-urged/article16204297.ece,Information on HIV/AIDS in vernacular languages urged
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Information-on-HIVAIDS-in-vernacular-languages-urged/article16204297.ece,Information on HIV/AIDS in vernacular languages urged
http://www.thehindu.com/todays-paper/tp-national/3-suspended-for-inhuman-treatment-to-HIV-patient/article16581965.ece,3 suspended for inhuman treatment to HIV patient
http://www.thehindu.com/todays-paper/tp-national/tp-newdelhi/India-could-be-showcased-globally-for-HIV-reforms/article16188774.ece,India could be showcased globally for HIV reforms
http://www.thehindu.com/todays-paper/tp-national/tp-kerala/HIV-prevention-campaign-gets-a-boost/article16186533.ece,HIV prevention campaign gets a boost
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Students-to-reduce-stigma-on-HIV-and-AIDS/article16526747.ece,Students to reduce stigma on HIV and AIDS
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Mobile-HIV-awareness-campaign-from-today/article16607063.ece,Mobile HIV awareness campaign from today
http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/Stigma-prevents-HIV-patients-from-utilising-scheme-benefits/article16466177.ece,Stigma prevents HIV patients from utilising scheme benefits
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Travails-of-HIV-positive-children/article16464569.ece,Travails of HIV positive children
http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/lsquoPeople-with-HIVAIDS-have-a-right-to-liversquo/article16831614.ece,‘People with HIV/AIDS have a right to live’
http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Workplace-intervention-on-HIVAIDS/article16831381.ece,Workplace intervention on HIV/AIDS
http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/District-officials-stress-on-HIVAIDS-prevention/article16830441.ece,District officials stress on HIV/AIDS prevention
http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/Bill-on-HIVAIDS-to-be-presented-in-next-session/article16829547.ece,Bill on HIV/AIDS to be presented in next session
http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/Recognising-Kannada-journalism-on-HIVAIDS/article16827051.ece,Recognising Kannada journalism on HIV/AIDS
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Collector-appeals-to-HIVAIDS-affected-persons/article16823082.ece,Collector appeals to HIV/AIDS-affected persons
http://www.thehindu.com/todays-paper/tp-national/tp-newdelhi/Bonding-over-HIV-infection/article16822681.ece,Bonding over HIV infection
http://www.thehindu.com/todays-paper/tp-national/NGOs-help-overcome-stigma-of-HIV-infection-in-Manipur/article15769115.ece,NGOs help overcome stigma of HIV infection in Manipur
http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/HIV-positive-person-seeks-government-job/article15769060.ece,HIV positive person seeks government job
